"RecentDecline","ExceptionalRecentDecline","HistoricDecline","RecentGrowth","ExceptionalRecentGrowth","HistoricGrowth","NoDiscernibleTrend"
"Declined between 1961-1990 and 1991-2020","Occupancy in 1991-2020 is lower than all historical time periods. (A subset of Recent Decline and Historical Decline)","Declined between 1900-1930 and 1991-2020","Increased between 1961-1990 and 1991-2020","Occupancy in 1991-2020 is greater than all historical time periods (A subset of Recent Growth and Historical Growth)","Increased between 1900-1930 and 1991-2020","No significant change over recent or historical time frames"
"Chrysotoxum flavifrons","Chrysotoxum flavifrons","Chrysotoxum derivatum (columbianum,integre,minor,ventricosum)","Allograpta obliqua","Allograpta obliqua","Allograpta obliqua","Dioprosopa (Pseudodoros) clavatus"
"Dasysyrphus intrudens","Dasysyrphus intrudens","Chrysotoxum flavifrons","Eristalis flavipes","Eristalis flavipes","Epistrophe grossulariae","Eristalis anthophorina (bastardii)"
"Eristalis arbustorum","Eristalis brousii","Dasysyrphus intrudens","Eristalis tenax","Eristalis tenax","Eristalis flavipes","Eristalis dimidiata"
"Eristalis brousii","Helophilus latifrons","Eristalis brousii","Eupeodes americanus","Eupeodes americanus","Eristalis tenax","Eristalis hirta"
"Helophilus latifrons","Parasyrphus relictus","Helophilus latifrons","Helophilus fasciatus","Helophilus fasciatus","Eristalis transversa","Eristalis nemorum (interrupta)"
"Parasyrphus relictus","Parasyrphus tarsatus","Parasyrphus relictus","Platycheirus obscurus","Platycheirus obscurus","Eupeodes americanus","Eristalis obscura"
"Parasyrphus tarsatus","Platycheirus immarginatus (felix)","Parasyrphus tarsatus","Sericomyia militaris","Sericomyia militaris","Helophilus fasciatus","Eristalis stipator"
"Platycheirus confusus","Pyrophaena (Platycheirus) granditarsis","Platycheirus immarginatus (felix)","Toxomerus geminatus","Toxomerus geminatus","Meliscaeva cinctella","Eumerus strigatus"
"Platycheirus hyperboreus (erraticus)","Sphaerophoria philanthus (dubia,nigritarsi,robusta)","Pyrophaena (Platycheirus) granditarsis","Toxomerus marginatus","Toxomerus marginatus","Merodon equestris","Eupeodes fumipennis"
"Platycheirus immarginatus (felix)","Syrphus torvus","Sphaerophoria contigua (cylindricus)","","","Paragus haemorrhous","Eupeodes volucris"
"Platycheirus naso (holarcticus)","","Sphaerophoria philanthus (dubia,nigritarsi,robusta)","","","Platycheirus obscurus","Helophilus lapponicus"
"Pyrophaena (Platycheirus) granditarsis","","Syrphus torvus","","","Pyrophaena (Platycheirus) rosarum","Helophilus obscurus"
"Sphaerophoria philanthus (dubia,nigritarsi,robusta)","","","","","Sericomyia chrysotoxoides","Lapposyrphus (Eupeodes,Metasyrphus) lapponicus"
"Syrphus torvus","","","","","Sericomyia militaris","Melanostoma mellinum (angustatum,fallax,melanderi,pallitarsis)"
"Temnostoma balyras","","","","","Toxomerus geminatus","Platycheirus quadratus"
"","","","","","Toxomerus marginatus","Platycheirus scambus"
"","","","","","","Rhingia nasica"
"","","","","","","Scaeva affinis (pyrastri)"
"","","","","","","Sericomyia chalcopyga"
"","","","","","","Syritta pipiens"
"","","","","","","Syrphus opinator"
"","","","","","","Syrphus rectus (transversalis)"
"","","","","","","Syrphus ribesii (bigelowi)"
"","","","","","","Syrphus vitripennis"
"","","","","","","Temnostoma alternans"
"","","","","","","Temnostoma excentrica (vespiforme)"
"","","","","","","Toxomerus occidentalis"
"","","","","","","Tropidia quadrata"
"","","","","","","Volucella facialis (lateralis,rufomaculata)"
"","","","","","","Xylota quadrimaculata (artemita)"
"","","","","","","Xylota subfasciata"
